field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도,경도,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도로_2,소재지지번_2,위도_2,경도_2,관리기관명_2,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준_2,제공기관코_2,제공기관명_2,옐로카펫_,보호구역_
29739,서울특별시 종로구청,서울특별시 종로구 옥인길 40,서울특별시 종로구 옥인동 171-1,생활방범,4,200.0,360도전방면,30.0,201312,02-2148-4301,37.581074,126.9665664,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
29740,서울특별시 종로구청,서울특별시 종로구 옥인3길 32-1,서울특별시 종로구 누상동 166-3,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.5798557,126.9656311,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
29741,서울특별시 종로구청,서울특별시 종로구 옥인6길 32,"서울특별시 종로구 누상동 166-214, 건물 옆 전신주",생활방범,1,200.0,360도전방면,30.0,201312,02-2148-4301,37.5807521,126.9645929,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
29742,서울특별시 종로구청,서울특별시 종로구 옥인6길 23,서울특별시 종로구 누상동 166-125,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5809943,126.9646711,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
29743,서울특별시 종로구청,서울특별시 종로구 옥인6길 39,"서울특별시 종로구 누상동 166-16, 건물 앞 주차장입구",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5803648,126.96490959999998,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
29744,서울특별시 종로구청,서울특별시 종로구 옥인6가길 8,서울특별시 종로구 누상동 166-121,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.58152120000001,126.9647453,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
19286,서울특별시 중구청,서울특별시 중구 청구로3길 80 (신당동),서울특별시 중구 청구동 340-15,쓰레기단속,1,200.0,고정형,30.0,201709,02-3396-4744,37.557721,127.014849,2019/11/21,3010000,서울특별시 중구,초등학교,청구초등학교,서울특별시 중구 다산로 170,서울특별시 중구 신당동 330-2,37.55911821,127.0137263,서울특별시 중구,서울중부경찰서,Y,3.0,6,2020/07/14,3010000,서울특별시 중구,2015-09-14,97
19287,서울특별시 중구청,서울특별시 중구 청구로1길 39 (신당동),서울특별시 중구 청구동 841,쓰레기단속,1,200.0,고정형,30.0,201709,02-3396-4744,37.557837,127.016056,2019/11/21,3010000,서울특별시 중구,초등학교,청구초등학교,서울특별시 중구 다산로 170,서울특별시 중구 신당동 330-2,37.55911821,127.0137263,서울특별시 중구,서울중부경찰서,Y,3.0,6,2020/07/14,3010000,서울특별시 중구,2015-09-14,97
19298,서울특별시 중구청,서울특별시 중구 청구로8길 22 (신당동),서울특별시 중구 신당동 304-720,쓰레기단속,1,200.0,고정형,30.0,201709,02-3396-4744,37.561583,127.013901,2019/11/21,3010000,서울특별시 중구,초등학교,청구초등학교,서울특별시 중구 다산로 170,서울특별시 중구 신당동 330-2,37.55911821,127.0137263,서울특별시 중구,서울중부경찰서,Y,3.0,6,2020/07/14,3010000,서울특별시 중구,2015-09-14,97
19301,서울특별시 중구청,서울특별시 중구 다산로31길 16 (신당동),서울특별시 중구 신당동 304-362,쓰레기단속,1,200.0,고정형,30.0,201709,02-3396-4744,37.561702,127.013488,2019/11/21,3010000,서울특별시 중구,초등학교,청구초등학교,서울특별시 중구 다산로 170,서울특별시 중구 신당동 330-2,37.55911821,127.0137263,서울특별시 중구,서울중부경찰서,Y,3.0,6,2020/07/14,3010000,서울특별시 중구,2015-09-14,97
