,일자,군구,유동인구수
546,20190322,강서구,10283250
547,20190322,용산구,5398540
548,20190322,강남구,15546140
549,20190322,동작구,7482930
550,20190323,양천구,7938200
551,20190323,종로구,4851540
552,20190323,중랑구,7185600
553,20190323,강동구,7941560
554,20190323,성동구,5845960
555,20190323,송파구,12396290
556,20190323,영등포구,8759330
557,20190323,노원구,9776330
558,20190323,금천구,4856840
559,20190323,도봉구,5793020
560,20190323,서대문구,6059470
561,20190323,구로구,8291720
562,20190323,동대문구,6965770
563,20190323,중구,4409780
564,20190323,관악구,9696620
565,20190323,강북구,5785280
566,20190323,성북구,8020210
567,20190323,광진구,7103420
568,20190323,마포구,8168770
569,20190323,서초구,9471290
570,20190323,은평구,8176050
571,20190323,강서구,10578160
572,20190323,용산구,5120870
573,20190323,강남구,12736970
574,20190323,동작구,7659480
575,20190324,양천구,8092350
576,20190324,종로구,4326940
577,20190324,중랑구,7342410
578,20190324,강동구,8055540
579,20190324,성동구,5672630
580,20190324,송파구,12224490
581,20190324,영등포구,8588660
582,20190324,노원구,9961120
583,20190324,금천구,4817460
584,20190324,도봉구,6054560
585,20190324,서대문구,5974810
586,20190324,구로구,8375430
587,20190324,동대문구,6931010
588,20190324,중구,3693930
589,20190324,관악구,9892330
590,20190324,강북구,5960290
591,20190324,성북구,8183660
592,20190324,광진구,7114420
593,20190324,마포구,7807510
594,20190324,서초구,8735970
595,20190324,은평구,8390430
596,20190324,강서구,10636590
597,20190324,용산구,4988970
598,20190324,강남구,11557430
599,20190324,동작구,7588330
600,20190325,양천구,7448210
601,20190325,종로구,5998020
602,20190325,중랑구,6791830
603,20190325,강동구,7609110
604,20190325,성동구,6324940
605,20190325,송파구,12093480
606,20190325,영등포구,9976570
607,20190325,노원구,9326800
608,20190325,금천구,5673980
609,20190325,도봉구,5466850
610,20190325,서대문구,6292450
611,20190325,구로구,8538790
612,20190325,동대문구,7123550
613,20190325,중구,6697920
614,20190325,관악구,9134060
615,20190325,강북구,5456280
616,20190325,성북구,8076090
617,20190325,광진구,6783020
618,20190325,마포구,8269260
619,20190325,서초구,10617880
620,20190325,은평구,7615150
621,20190325,강서구,10317340
622,20190325,용산구,5252320
623,20190325,강남구,15310450
624,20190325,동작구,7526460
625,20190326,양천구,7377810
626,20190326,종로구,6140340
627,20190326,중랑구,6731320
628,20190326,강동구,7558370
629,20190326,성동구,6320080
630,20190326,송파구,12075880
631,20190326,영등포구,9990290
632,20190326,노원구,9246400
633,20190326,금천구,5628610
634,20190326,도봉구,5434820
635,20190326,서대문구,6314750
636,20190326,구로구,8456930
637,20190326,동대문구,7102910
638,20190326,중구,6852640
639,20190326,관악구,9076670
640,20190326,강북구,5403400
641,20190326,성북구,8063470
642,20190326,광진구,6756810
643,20190326,마포구,8552590
644,20190326,서초구,10725470
645,20190326,은평구,7533380
646,20190326,강서구,10256090
647,20190326,용산구,5301890
648,20190326,강남구,15476010
649,20190326,동작구,7510810
650,20190327,양천구,7400390
651,20190327,종로구,6133550
652,20190327,중랑구,6758270
653,20190327,강동구,7583740
654,20190327,성동구,6304760
655,20190327,송파구,12114660
656,20190327,영등포구,10047310
657,20190327,노원구,9274480
658,20190327,금천구,5611460
659,20190327,도봉구,5429910
660,20190327,서대문구,6316360
661,20190327,구로구,8494740
662,20190327,동대문구,7123950
663,20190327,중구,6833740
664,20190327,관악구,9091020
665,20190327,강북구,5408550
666,20190327,성북구,8080870
667,20190327,광진구,6787990
668,20190327,마포구,8321550
669,20190327,서초구,10708200
670,20190327,은평구,7574370
671,20190327,강서구,10295400
672,20190327,용산구,5313140
673,20190327,강남구,15563020
674,20190327,동작구,7505380
675,20190328,양천구,7392240
676,20190328,종로구,6191370
677,20190328,중랑구,6761480
678,20190328,강동구,7575210
679,20190328,성동구,6317640
680,20190328,송파구,12122300
681,20190328,영등포구,9976030
682,20190328,노원구,9214750
683,20190328,금천구,5630130
684,20190328,도봉구,5410210
685,20190328,서대문구,6307660
686,20190328,구로구,8482210
687,20190328,동대문구,7118380
688,20190328,중구,6884140
689,20190328,관악구,9084340
690,20190328,강북구,5401240
691,20190328,성북구,8040400
692,20190328,광진구,6774990
693,20190328,마포구,8361540
694,20190328,서초구,10786130
695,20190328,은평구,7535300
696,20190328,강서구,10263570
697,20190328,용산구,5332670
698,20190328,강남구,15613590
699,20190328,동작구,7477550
700,20190329,양천구,7435890
701,20190329,종로구,6148970
702,20190329,중랑구,6753640
703,20190329,강동구,7623200
704,20190329,성동구,6293150
705,20190329,송파구,12305950
706,20190329,영등포구,10052650
707,20190329,노원구,9167290
708,20190329,금천구,5594010
709,20190329,도봉구,5402440
710,20190329,서대문구,6183760
711,20190329,구로구,8500630
712,20190329,동대문구,7047610
713,20190329,중구,6750530
714,20190329,관악구,9055330
715,20190329,강북구,5432030
716,20190329,성북구,7892190
717,20190329,광진구,6787070
718,20190329,마포구,8449700
719,20190329,서초구,10872070
720,20190329,은평구,7555520
721,20190329,강서구,10276190
722,20190329,용산구,5389200
723,20190329,강남구,15718520
724,20190329,동작구,7446770
725,20190330,양천구,7940500
726,20190330,종로구,4747150
727,20190330,중랑구,7207100
728,20190330,강동구,7952010
729,20190330,성동구,5845990
730,20190330,송파구,12406980
731,20190330,영등포구,8755470
732,20190330,노원구,9761870
733,20190330,금천구,4863940
734,20190330,도봉구,5797890
735,20190330,서대문구,6017210
736,20190330,구로구,8358200
737,20190330,동대문구,6976360
738,20190330,중구,4390240
739,20190330,관악구,9657630
740,20190330,강북구,5813720
741,20190330,성북구,8066240
742,20190330,광진구,7032270
743,20190330,마포구,8126050
744,20190330,서초구,9411830
745,20190330,은평구,8198130
746,20190330,강서구,10586880
747,20190330,용산구,5092090
748,20190330,강남구,12706250
749,20190330,동작구,7623410
750,20190331,양천구,8142890
751,20190331,종로구,4194900
752,20190331,중랑구,7413570
753,20190331,강동구,8092130
754,20190331,성동구,5706320
755,20190331,송파구,12296920
756,20190331,영등포구,8597170
757,20190331,노원구,10034380
758,20190331,금천구,4872380
759,20190331,도봉구,6074880
760,20190331,서대문구,5966150
761,20190331,구로구,8493080
762,20190331,동대문구,6992430
763,20190331,중구,3675880
764,20190331,관악구,9898250
765,20190331,강북구,5982590
766,20190331,성북구,8185950
767,20190331,광진구,7081650
768,20190331,마포구,7783890
769,20190331,서초구,8798910
770,20190331,은평구,8455620
771,20190331,강서구,10705990
772,20190331,용산구,4937310
773,20190331,강남구,11588950
774,20190331,동작구,7552860
775,20190401,강남구,15333810
776,20190401,동작구,7552300
777,20190401,영등포구,10003920
778,20190401,은평구,7662190
779,20190401,광진구,6811480
780,20190401,마포구,8313930
781,20190401,서초구,10657540
782,20190401,양천구,7517190
783,20190401,중랑구,6837270
784,20190401,용산구,5257500
785,20190401,강동구,7653480
786,20190401,성동구,6352620
787,20190401,송파구,12227330
788,20190401,노원구,9338130
789,20190401,종로구,5984790
790,20190401,금천구,5716140
791,20190401,서대문구,6317880
792,20190401,구로구,8614060
793,20190401,동대문구,7170710
794,20190401,중구,6789370
795,20190401,관악구,9188330
796,20190401,도봉구,5505540
797,20190401,강북구,5479020
798,20190401,성북구,8099670
799,20190401,강서구,10365650
800,20190402,강남구,15514730
801,20190402,동작구,7553980
802,20190402,영등포구,10028000
803,20190402,은평구,7597370
804,20190402,광진구,6794860
805,20190402,마포구,8353580
806,20190402,서초구,10729930
