,연번,시도,지자체,설치위치(학교),설치일자,재원,구분,사업주체기관,유지보수일자,비고,학교이름,주소
240,707,서울특별시,성동구,동호초등학교,2018-04-26,이마트,어린이재단,서울북부지역본부,,,동호초등학교,서울 성동구 동호로5길 133
241,708,서울특별시,성동구,송원초등학교,2018-04-26,이마트,어린이재단,서울북부지역본부,,,송원초등학교,서울 성동구 동일로43길 9
242,709,서울특별시,성동구,용답초등학교,2018-04-26,이마트,어린이재단,서울북부지역본부,,,용답초등학교,서울 성동구 용답25길 1
243,766,서울특별시,도봉구,오봉초등학교,2018-07-18,DB손해보험,어린이재단,서울남부지역본부,,,오봉초등학교,서울 도봉구 시루봉로 285
244,774,서울특별시,관악구,사당초등학교,2018-07-26,DB손해보험,어린이재단,서울남부지역본부,,,사당초등학교,서울 관악구 남현4길 51
245,775,서울특별시,관악구,봉현초등학교(B),2018-07-27,DB손해보험,어린이재단,서울남부지역본부,,,봉현초등학교,서울 관악구 성현로 117
246,776,서울특별시,관악구,봉현초등학교(C),2018-07-27,DB손해보험,어린이재단,서울남부지역본부,,,봉현초등학교,서울 관악구 성현로 117
247,779,서울특별시,강서구,등명초등학교,2018-08-07,DB손해보험,어린이재단,서울남부지역본부,,,등명초등학교,서울 강서구 강서로56나길 34
248,780,서울특별시,관악구,봉현초등학교(D),2018-08-08,개인후원자(신명원),어린이재단,서울지역본부,,,봉현초등학교,서울 관악구 성현로 117
249,781,서울특별시,양천구,갈산초등학교,2018-08-08,개인후원자(신명원),어린이재단,서울지역본부,,,갈산초등학교,서울 양천구 목동로 31
250,782,서울특별시,양천구,강신초등학교,2018-08-08,개인후원자(신명원),어린이재단,서울지역본부,,,강신초등학교,서울 양천구 월정로 280
251,798,서울특별시,성동구,행당초등학교(B),2018-08-20,이마트,어린이재단,서울북부지역본부,,,행당초등학교,서울 성동구 고산자로8길 6
252,799,서울특별시,성동구,행당초등학교(A),2018-08-20,이마트,어린이재단,서울북부지역본부,,,행당초등학교,서울 성동구 고산자로8길 6
253,817,서울특별시,양천구,양강초등학교,2018-09-30,한국공항공사,어린이재단,서울지역본부,,,양강초등학교,서울 양천구 오목로 101
254,818,서울특별시,양천구,강월초등학교,2018-09-30,한국공항공사,어린이재단,서울지역본부,,,강월초등학교,서울 양천구 신월로 97
255,847,서울특별시,구로구,구로초등학교,2018-10-22,한국공항공사,어린이재단,서울지역본부,,,구로초등학교,서울 구로구 구로중앙로27나길 9
256,848,서울특별시,구로구,세곡초등학교(A),2018-10-22,한국공항공사,어린이재단,서울지역본부,,,세곡초등학교,서울 구로구 고척로33길 34
257,860,서울특별시,광진구,경복초등학교,2018-10-30,DB손해보험,어린이재단,서울남부지역본부,,,경복초등학교,서울 광진구 천호대로130길 58
258,861,서울특별시,광진구,양진초등학교,2018-10-30,DB손해보험,어린이재단,서울남부지역본부,,,양진초등학교,서울 광진구 워커힐로 32
259,864,서울특별시,강동구,강솔초등학교,2018-11-01,DB손해보험,어린이재단,서울남부지역본부,,,강솔초등학교,서울 강동구 고덕로97길 80 서울강솔초등학교
260,865,서울특별시,강동구,명덕초등학교,2018-11-01,DB손해보험,어린이재단,서울남부지역본부,,,명덕초등학교,서울 강동구 양재대로156길 11
261,866,서울특별시,강동구,묘곡초등학교,2018-11-01,DB손해보험,어린이재단,서울남부지역본부,,,묘곡초등학교,서울 강동구 동남로79길 46
262,867,서울특별시,강동구,한산초등학교(C),2018-11-01,DB손해보험,어린이재단,서울남부지역본부,,,한산초등학교,서울 강동구 풍성로 261
263,868,서울특별시,구로구,세곡초등학교(B),2018-11-02,한국공항공사,어린이재단,서울지역본부,,,세곡초등학교,서울 구로구 고척로33길 34
264,873,서울특별시,강남구,대도초등학교,2018-11-05,DB손해보험,어린이재단,서울남부지역본부,,,대도초등학교,서울 강남구 선릉로 209
265,874,서울특별시,강남구,왕북초등학교,2018-11-05,DB손해보험,어린이재단,서울남부지역본부,,,왕북초등학교,서울 강남구 광평로31길 74
266,875,서울특별시,송파구,위례별초등학교,2018-11-05,DB손해보험,어린이재단,서울남부지역본부,,,위례별초등학교,서울 송파구 위례광장로 243
267,876,서울특별시,강남구,율현초등학교(A),2018-11-05,DB손해보험,어린이재단,서울남부지역본부,,,율현초등학교,서울 강남구 밤고개로21길 15
268,877,서울특별시,강남구,포이초등학교,2018-11-05,DB손해보험,어린이재단,서울남부지역본부,,,포이초등학교,서울 강남구 개포로22길 87
269,882,서울특별시,동작구,신상도초등학교,2018-11-12,DB손해보험,어린이재단,서울남부지역본부,,,신상도초등학교,서울 동작구 장승배기로 14
270,883,서울특별시,노원구,노원초등학교,2018-11-13,DB손해보험,어린이재단,서울남부지역본부,,,노원초등학교,서울 노원구 동일로230나길 32
271,884,서울특별시,중랑구,상봉초등학교,2018-11-13,DB손해보험,어린이재단,서울남부지역본부,,,상봉초등학교,서울 중랑구 동일로126가길 11
272,885,서울특별시,중랑구,신내초등학교(A),2018-11-13,DB손해보험,어린이재단,서울남부지역본부,,,신내초등학교,서울 중랑구 용마산로125나길 22
273,886,서울특별시,중랑구,신내초등학교(B),2018-11-13,DB손해보험,어린이재단,서울남부지역본부,,,신내초등학교,서울 중랑구 용마산로125나길 22
274,887,서울특별시,노원구,연촌초등학교,2018-11-13,DB손해보험,어린이재단,서울남부지역본부,,,연촌초등학교,서울 노원구 공릉로58길 36
275,888,서울특별시,도봉구,숭미초등학교(A),2018-11-14,DB손해보험,어린이재단,서울남부지역본부,,,숭미초등학교,서울 도봉구 노해로 179
276,889,서울특별시,도봉구,숭미초등학교(B),2018-11-14,DB손해보험,어린이재단,서울남부지역본부,,,숭미초등학교,서울 도봉구 노해로 179
277,890,서울특별시,도봉구,창원초등학교(A),2018-11-14,DB손해보험,어린이재단,서울남부지역본부,,,창원초등학교,서울 도봉구 해등로 103
278,891,서울특별시,도봉구,창원초등학교(B),2018-11-14,DB손해보험,어린이재단,서울남부지역본부,,,창원초등학교,서울 도봉구 해등로 103
279,892,서울특별시,도봉구,창원초등학교(C),2018-11-14,DB손해보험,어린이재단,서울남부지역본부,,,창원초등학교,서울 도봉구 해등로 103
280,893,서울특별시,강남구,대치초등학교,2018-11-18,DB손해보험,어린이재단,서울남부지역본부,,,대치초등학교,서울 강남구 양재천로 363
281,894,서울특별시,서대문구,연가초등학교(B),2018-11-18,DB손해보험,어린이재단,서울남부지역본부,,,연가초등학교,서울 서대문구 증가로12가길 49-50
282,895,서울특별시,서대문구,연희초등학교,2018-11-18,DB손해보험,어린이재단,서울남부지역본부,,,연희초등학교,서울 서대문구 연희로 136
283,896,서울특별시,강남구,율현초등학교(B),2018-11-18,DB손해보험,어린이재단,서울남부지역본부,,,율현초등학교,서울 강남구 밤고개로21길 15
284,897,서울특별시,용산구,후암초등학교,2018-11-18,DB손해보험,어린이재단,서울남부지역본부,,,후암초등학교,서울 용산구 두텁바위로 140
