사고번호,사고일시,요일,시군구,X,Y,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 10월 18일 15시,금요일,서울특별시 양천구 신정동,126.855717,37.515197,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,보행자,여,34세,경상
2.02E+15,2019년 10월 23일 18시,수요일,서울특별시 양천구 신월동,126.834319,37.526611,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,남,11세,경상
2.02E+15,2019년 10월 26일 16시,토요일,서울특별시 송파구 마천동,127.152749,37.49849,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,9세,경상
2.02E+15,2019년 10월 28일 14시,월요일,서울특별시 관악구 봉천동,126.953483,37.47798,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,남,10세,경상
2.02E+15,2019년 10월 30일 14시,수요일,서울특별시 강동구 암사동,127.13106,37.557811,중상사고,0,1,0,0,차대사람 - 횡단중,미분류,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,보행자,남,7세,중상
2.02E+15,2019년 11월 3일 00시,일요일,서울특별시 강서구 화곡동,126.84727,37.540704,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,40세,기타불명,보행자,여,7세,경상
2.02E+15,2019년 11월 5일 16시,화요일,서울특별시 서초구 반포동,127.000758,37.50397,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,26세,상해없음,보행자,여,7세,부상신고
2.02E+15,2019년 11월 10일 13시,일요일,서울특별시 구로구 천왕동,126.839867,37.480262,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승합,남,72세,상해없음,보행자,남,6세,경상
2.02E+15,2019년 11월 11일 10시,월요일,서울특별시 서초구 반포동,127.000758,37.50397,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,70세,상해없음,보행자,여,3세,경상
2.02E+15,2019년 11월 11일 15시,월요일,서울특별시 강동구 천호동,127.127629,37.544379,경상사고,0,0,1,0,차대사람 - 횡단중,미분류,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,기타불명,보행자,남,7세,경상
